;;;;;
Function;FunctionGroup;Process;Invocation;Exclusive Time;Inclusive Time
close;LIBC-I/O;Process 16;19;0.000143;0.000143
close;LIBC-I/O;Process 17;20;0.000130;0.000130
close;LIBC-I/O;Process 18;20;0.000106;0.000106
close;LIBC-I/O;Process 19;20;0.000113;0.000113
close;LIBC-I/O;Process 20;20;0.000122;0.000122
close;LIBC-I/O;Process 21;20;0.000105;0.000105
close;LIBC-I/O;Process 22;20;0.000108;0.000108
close;LIBC-I/O;Process 23;20;0.000106;0.000106
close;LIBC-I/O;Process 24;20;0.000097;0.000097
close;LIBC-I/O;Process 25;20;0.000115;0.000115
close;LIBC-I/O;Process 26;20;0.000148;0.000148
close;LIBC-I/O;Process 27;20;0.000109;0.000109
close;LIBC-I/O;Process 28;20;0.000179;0.000179
close;LIBC-I/O;Process 29;20;0.000136;0.000136
close;LIBC-I/O;Process 30;20;0.000102;0.000102
close;LIBC-I/O;Process 31;19;0.000104;0.000104
read;LIBC-I/O;Process 0;10508;872.356661;872.356661
read;LIBC-I/O;Process 1;8;0.000016;0.000016
read;LIBC-I/O;Process 2;8;0.000017;0.000017
read;LIBC-I/O;Process 3;8;0.000015;0.000015
read;LIBC-I/O;Process 4;8;0.000016;0.000016
read;LIBC-I/O;Process 5;8;0.000016;0.000016
read;LIBC-I/O;Process 6;8;0.000017;0.000017
read;LIBC-I/O;Process 7;8;0.000016;0.000016
read;LIBC-I/O;Process 8;8;0.000016;0.000016
read;LIBC-I/O;Process 9;8;0.000015;0.000015
read;LIBC-I/O;Process 10;8;0.000016;0.000016
read;LIBC-I/O;Process 11;8;0.000015;0.000015
read;LIBC-I/O;Process 12;8;0.000016;0.000016
read;LIBC-I/O;Process 13;8;0.000016;0.000016
read;LIBC-I/O;Process 14;8;0.000016;0.000016
read;LIBC-I/O;Process 15;8;0.000015;0.000015
read;LIBC-I/O;Process 16;8;0.000015;0.000015
read;LIBC-I/O;Process 17;8;0.000015;0.000015
read;LIBC-I/O;Process 18;8;0.000016;0.000016
read;LIBC-I/O;Process 19;8;0.000017;0.000017
read;LIBC-I/O;Process 20;8;0.000016;0.000016
read;LIBC-I/O;Process 21;8;0.000016;0.000016
read;LIBC-I/O;Process 22;8;0.000015;0.000015
read;LIBC-I/O;Process 23;8;0.000027;0.000027
read;LIBC-I/O;Process 24;8;0.000017;0.000017
